text,label
"A regular strike requires a friendly reminder first",es-strike-regular
"Blue mark is given after issuing a regular strike",es-strike-regular
"The timer for a regular strike is 5 minutes",es-strike-regular
"ES learners receive 1 blue mark per regular strike",es-strike-regular
"A friendly reminder must be given before any regular strike is issued",es-strike-regular
"Regular strikes cannot be issued without a prior verbal reminder",es-strike-regular
"The 5-minute reset timer applies to regular strikes in ES",es-strike-regular
"Strike champions must warn learners before issuing a regular strike",es-strike-regular
"A verbal reminder must precede every regular strike",es-strike-regular
"Regular strikes result in a 5-minute reset and 1 blue mark",es-strike-regular
"ES regular strikes start with a friendly reminder then a 5-minute timer",es-strike-regular
"One blue mark is added each time a regular strike is issued in ES",es-strike-regular
"Guardrail strikes are issued immediately without a reminder",es-strike-guardrail
"A guardrail strike gives 2 red marks",es-strike-guardrail
"The reset timer for a guardrail strike is 10 minutes",es-strike-guardrail
"Physical aggression triggers an immediate guardrail strike in ES",es-strike-guardrail
"ES guardrail strikes require no friendly reminder",es-strike-guardrail
"2 red marks are added for each guardrail strike",es-strike-guardrail
"Guardrail behaviors result in an immediate 10-minute reset",es-strike-guardrail
"Safety violations in ES result in a guardrail strike",es-strike-guardrail
"No warning is needed before issuing a guardrail strike",es-strike-guardrail
"ES learners who commit guardrail offenses receive a 10-minute timer",es-strike-guardrail
"A guardrail strike skips the reminder and goes straight to 10 minutes",es-strike-guardrail
"Two red marks are recorded for every guardrail strike in Elementary Studio",es-strike-guardrail
"ES learners who refuse to reset receive 1 penalty minute per minute of refusal",es-strike-refusal
"Refusal minutes accumulate across the session",es-strike-refusal
"A learner who refuses for more than 10 minutes loses the ability to give strikes",es-strike-refusal
"Refusing to sit during the reset timer adds extra time to the clock",es-strike-refusal
"Refusal tracking counts total minutes of non-compliance per session",es-strike-refusal
"10 minutes of refusal in ES results in strike-giving privileges being revoked",es-strike-refusal
"Each minute a learner refuses to reset adds 1 minute to their timer",es-strike-refusal
"Refusal to reset is tracked separately from strike marks",es-strike-refusal
"ES learners who refuse for over 10 minutes cannot issue strikes for the rest of the session",es-strike-refusal
"Penalty minutes stack up if a learner keeps refusing during their reset",es-strike-refusal
"Refusal to comply with a reset timer results in an extended penalty period",es-strike-refusal
"Marks reset each session in Elementary Studio",es-strike-refusal
"Hero's Promise must be recited at the start of each day",es-roes-promise
"The Hero's Promise is said together at the beginning of every session",es-roes-promise
"ES learners recite the Hero's Promise every morning",es-roes-promise
"The promise is a daily commitment to learning and community",es-roes-promise
"Reciting the Hero's Promise is a required part of the ES opening routine",es-roes-promise
"The Hero's Promise sets the tone for each ES session",es-roes-promise
"All ES learners participate in reciting the promise at the start of the day",es-roes-promise
"The Hero's Promise reminds learners of their commitment to the tribe",es-roes-promise
"ES sessions begin with the collective recitation of the Hero's Promise",es-roes-promise
"The promise is recited aloud by every ES learner each morning",es-roes-promise
"Learners must raise their hand before speaking during town hall",es-roes-conduct
"Socratic discussion rules apply during all ES town hall sessions",es-roes-conduct
"ES learners must use respectful language at all times",es-roes-conduct
"Free time is earned by following studio expectations",es-roes-conduct
"Classroom conduct standards are outlined in the ES rules of engagement",es-roes-conduct
"ES learners are expected to follow the Socratic method during discussions",es-roes-conduct
"Speaking out of turn during discussions results in a reminder",es-roes-conduct
"ES conduct expectations apply throughout the entire studio session",es-roes-conduct
"Learners may only speak when called upon during structured discussions",es-roes-conduct
"Respecting others during discussions is a core ES expectation",es-roes-conduct
"No interrupting others while they are speaking in ES",es-roes-conduct
"ES learners are expected to listen actively during group discussions",es-roes-conduct
"LGG stands for Low Grade Guardrail",ms-strike-lgg
"The bottle lid is classified as an LGG offense",ms-strike-lgg
"Low Grade Guardrail strikes are given without a reminder",ms-strike-lgg
"LGG offenses result in specific consequences outlined in the MS strike page",ms-strike-lgg
"The bottle lid rule is an MS-specific LGG trigger",ms-strike-lgg
"A low grade guardrail is issued for minor but non-negotiable rule breaks in MS",ms-strike-lgg
"Microwave misuse is considered an LGG offense",ms-strike-lgg
"LGG is a separate strike category from regular and guardrail strikes in MS",ms-strike-lgg
"Bottle lid violations result in an LGG strike in Middle School",ms-strike-lgg
"Low grade guardrails carry specific consequences distinct from regular strikes",ms-strike-lgg
"MS learners who leave bottle lids off receive an LGG",ms-strike-lgg
"Bottle lid is now a warning first before an LGG is issued",ms-strike-lgg
"Apology letters must be signed off by three strike champions",ms-strike-apology
"MS learners must submit an apology letter after receiving a strike",ms-strike-apology
"Apology letters must include an action plan",ms-strike-apology
"Sign-off from three strike champions is required for apology letters",ms-strike-apology
"An apology letter must be completed before privileges are restored",ms-strike-apology
"The apology letter process requires peer review and sign-off",ms-strike-apology
"Apology letters in MS must address the specific behavior that caused the strike",ms-strike-apology
"Three champion signatures are required on every MS apology letter",ms-strike-apology
"Apology letters must be reviewed and approved before a learner rejoins the group",ms-strike-apology
"MS apology letters must be handwritten and include an action plan",ms-strike-apology
"An apology letter with fewer than three sign-offs is not considered complete",ms-strike-apology
"The apology letter must be submitted to the strike champion before returning to normal activity",ms-strike-apology
"Silent lunch timer runs for 30 minutes ending at 12:00",ms-strike-silent-lunch
"Learners on silent lunch may not talk during the 30-minute period",ms-strike-silent-lunch
"Silent lunch is a consequence for receiving a strike in MS",ms-strike-silent-lunch
"MS strike consequences include a 30-minute silent lunch",ms-strike-silent-lunch
"Silent lunch begins immediately when the lunch period starts",ms-strike-silent-lunch
"A learner with a strike must sit in the designated silent lunch area",ms-strike-silent-lunch
"Silent lunch lasts 30 minutes and ends at noon",ms-strike-silent-lunch
"During silent lunch learners may not interact with other learners",ms-strike-silent-lunch
"The silent lunch timer is 30 minutes and resets each session",ms-strike-silent-lunch
"MS learners who have been struck must observe a 30-minute silent lunch",ms-strike-silent-lunch
"Talking during silent lunch extends the consequence",ms-strike-silent-lunch
"Silent lunch is served in a separate designated area from the rest of the studio",ms-strike-silent-lunch
"Learners must complete their quest goals before free time",ms-rules-academics
"Core skills must be demonstrated each session",ms-rules-academics
"Quest projects must be submitted on time",ms-rules-academics
"MS learners are accountable for their academic progress each session",ms-rules-academics
"Failing to meet quest goals affects eligibility",ms-rules-academics
"Learners who fall below grade requirements may receive an LGG",ms-rules-academics
"Core skills are reviewed at the end of each session",ms-rules-academics
"Quest completion is required before a learner may participate in free activities",ms-rules-academics
"MS learners must track their own academic progress",ms-rules-academics
"Grade requirements must be maintained to remain in good standing",ms-rules-academics
"Self-governance means MS learners are responsible for their own academic output",ms-rules-academics
"Quest goals must be set and met each session without guide reminders",ms-rules-academics
"Accountability partners check in at the start of each day",ms-rules-schedule
"Morning launch begins each MS studio session",ms-rules-schedule
"Closing circle is held at the end of each session",ms-rules-schedule
"The daily flow includes morning launch, work time, and closing circle",ms-rules-schedule
"Accountability partner check-ins happen every morning",ms-rules-schedule
"MS learners follow a structured daily schedule each session",ms-rules-schedule
